OWN_PN;OWN_PROD_NAME;TABLE.OWN_PROD_NAME
E0K6PLL;IBM PUREDATA SYSTEM FOR ANALYTICS N3001-005 APPLIA;PUREDATA SYS ANALYT*CNG12M902;
 1 NODE NUTA;NX-1175S-G5-SW-CM;NUTANIX HARWARE PLATFORM* NX-1175S-G5, 1 NODE NUTA;
 1 NODE NUTA;NX-1175S-G5-SW-CM;NUTANIX HARWARE PLATFORM* NX-1175S-G5, 1 NODE NUTA;
Q9J68A;HPE OMNISTACK 8-14C 2P SMALL;HPE OMNISTACK 8-14C 2P SMALL SW/PROMO;
Q9J68A;HPE OMNISTACK 8-14C 2P SMALL;HPE OmniStack 8-14c 2P Small SW/Promo;
E0FYRLL;PureData12 SQAPLBCSV;IBM PUREDATA SYSTEM FOR ANALYTICS N2001-010 APPLIA;
VX14G2SLOWFREQHS;VxRail 14G 2S LOW FREQ HEATSINK;VXRAIL 14G 2S LOW FREQ HEATSINK;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:99573434.6) BTO PowerEdge FX2  Ready Rails  DualPSU 2000W  3Yr PRO4HR;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100207760.6) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100626133/7) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:SNCF:DELL PowerEdge FX2 Chassis SD 2GB;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:UNIHA:DELL PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;AS (Gii 103333783) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17880671/2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18001110.2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18351845;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23059970;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23182264.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23295859;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18195516.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18237499;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis for up to;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PE FX2 Chassis 3Y PS;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL BTO PowerEdge FX2 [PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL FX 2 + 3 NODES;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC (Gii 103139470/3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC(GII:100581062.11)FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LB(Gii:103399399.3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LM  (GIIQuote:101074959.15) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2*2 000W 1XCMC 2X1GBE PASS TROUGH;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2X2 000W 1XCMC 2GB SD 2*PASS TRI;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Poweredge Fx2 Configurato;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 102972244) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 103241233) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PS (Gii: 102490442) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102759314/4) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941100) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941199) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103094518) PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103187182) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103333348.1) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562678) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562732) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102824121) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:99573434.6) BTO PowerEdge FX2  Ready Rails  DualPSU 2000W  3Yr PRO4HR;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100207760.6) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100626133/7) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:SNCF:DELL PowerEdge FX2 Chassis SD 2GB;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:UNIHA:DELL PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;AS (Gii 103333783) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17880671/2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18001110.2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18351845;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23059970;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23182264.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23295859;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18195516.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18237499;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis for up to;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PE FX2 Chassis 3Y PS;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL BTO PowerEdge FX2 [PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL FX 2 + 3 NODES;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC (Gii 103139470/3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC(GII:100581062.11)FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LB(Gii:103399399.3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LM  (GIIQuote:101074959.15) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2*2 000W 1XCMC 2X1GBE PASS TROUGH;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2X2 000W 1XCMC 2GB SD 2*PASS TRI;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Poweredge Fx2 Configurato;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 102972244) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 103241233) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PS (Gii: 102490442) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102759314/4) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941100) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941199) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103094518) PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103187182) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103333348.1) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562678) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562732) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102824121) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:99573434.6) BTO PowerEdge FX2  Ready Rails  DualPSU 2000W  3Yr PRO4HR;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100207760.6) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100626133/7) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:SNCF:DELL PowerEdge FX2 Chassis SD 2GB;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:UNIHA:DELL PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;AS (Gii 103333783) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17880671/2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18001110.2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18351845;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23059970;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23182264.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23295859;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18195516.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18237499;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis for up to;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PE FX2 Chassis 3Y PS;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL BTO PowerEdge FX2 [PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL FX 2 + 3 NODES;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC (Gii 103139470/3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC(GII:100581062.11)FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LB(Gii:103399399.3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LM  (GIIQuote:101074959.15) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2*2 000W 1XCMC 2X1GBE PASS TROUGH;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2X2 000W 1XCMC 2GB SD 2*PASS TRI;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Poweredge Fx2 Configurato;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 102972244) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 103241233) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PS (Gii: 102490442) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102759314/4) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941100) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941199) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103094518) PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103187182) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103333348.1) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562678) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562732) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102824121) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:99573434.6) BTO PowerEdge FX2  Ready Rails  DualPSU 2000W  3Yr PRO4HR;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100207760.6) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;(GIIQuote:100626133/7) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:SNCF:DELL PowerEdge FX2 Chassis SD 2GB;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;:UNIHA:DELL PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;AS (Gii 103333783) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17880671/2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?17981851.6.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18001110.2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18341821.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18351845;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?18502024.B;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23059970;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23182264.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/210-ABUX?23295859;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18195516.3;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell 210-ABUX?18237499;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/Dell PowerEdge FX2 Chassis for up to;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;BTO/PowerEdge FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PE FX2 Chassis 3Y PS;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;CS/PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL BTO PowerEdge FX2 [PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL FX 2 + 3 NODES;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;DELL POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Dell PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC (Gii 103139470/3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;HC(GII:100581062.11)FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LB(Gii:103399399.3) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;LM  (GIIQuote:101074959.15) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2*2 000W 1XCMC 2X1GBE PASS TROUGH;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;POWEREDGE FX2 CHASSIS FX2S 2X2 000W 1XCMC 2GB SD 2*PASS TRI;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;Poweredge Fx2 Configurato;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 102972244) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PP (Gii 103241233) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;PS (Gii: 102490442) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102759314/4) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941100) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;SL (Gii: 102941199) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103094518) PowerEdge FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103187182) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii 103333348.1) FX2;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562678) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102562732) FX2 Chassis;
210-ABUX;PATR POWEREDGE FX2 3YPSNB17567123.2;ZR (Gii: 102824121) FX2;
210-ANLW;JR(Gii:103955252) EMC XC640;BASE HCI XC640ENT ESXI;
210-ANLW;JR(Gii:103955252) EMC XC640;BASE,HCI,XC640ENT,ESXI DELL EMC XC640;
210-ANLW;JR(Gii:103955252) EMC XC640;CH (Gii 103270187) XC640ENT;
210-ANLW;JR(Gii:103955252) EMC XC640;CH(Gii:103543219) XC640ENT;
210-ANLW;JR(Gii:103955252) EMC XC640;DELL EMC XC640ENT F R ESXI [DELL EMC XC;
210-ANLW;JR(Gii:103955252) EMC XC640;DELL EMC XC640ENT FOR ESXI;
210-ANLW;JR(Gii:103955252) EMC XC640;DELL EMC XC640ENT POUR ESXI [D ELL EMC XC640 - ULTIMATE;
E0K6SLL;IBM PureData System for Analytics N3001;IBM PUREDATA SYSTEM FOR ANALYTICS N3001-;
E0FYRLL;PureData12 SQAPLBCSV;IBM PUREDATA SYSTEM FOR ANALYTICS N2001-010 APPLIA;
E0FYRLL;IBM PUREDATA SYSTEM FOR ANALYTICS N20019;IBM PUREDATA SYSTEM FOR ANALYTICS N2001-010 APPLIA;
798096R-B21;SY 12000F 2650W AC FIO RMNF PS;HPE SYNERGY 12000F 6X 2650W AC;
798096R-B21;SY 12000F 2650W AC FIO RMNF PS;HPE Synergy 12000F 6x 2650W AC Reman (P);
798096R-B21;SY 12000F 2650W AC FIO RMNF PS;HPE SYNERGY 12000F 6X 2650W AC REMAN PS;
798096R-B21;SY 12000F 2650W AC FIO RMNF PS;HPE Synergy 12000F 6x 2650W AC Reman PS;
798096R-B21;SY 12000F 2650W AC FIO RMNF PS;SYNERGY 12000F 6X 2650W AC PS;
210-ABUX;ZR(Gii:103961274) FX2;(GIIQuote:99573434.6) BTO PowerEdge FX2  Ready Rails  DualPSU 2000W  3Yr PRO4HR;
210-ABUX;ZR(Gii:103961274) FX2;(GIIQuote:100207760.6) FX2;
210-ABUX;ZR(Gii:103961274) FX2;(GIIQuote:100626133/7) FX2;
210-ABUX;ZR(Gii:103961274) FX2;:SNCF:DELL PowerEdge FX2 Chassis SD 2GB;
210-ABUX;ZR(Gii:103961274) FX2;:UNIHA:DELL PowerEdge FX2 Chassis;
210-ABUX;ZR(Gii:103961274) FX2;AS (Gii 103333783) FX2;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?17880671/2;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?17981851.6;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?17981851.6.B;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18001110.2;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18341821;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18341821.B;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18351845;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18502024;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?18502024.B;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?23059970;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?23182264.3;
210-ABUX;ZR(Gii:103961274) FX2;BTO/210-ABUX?23295859;
210-ABUX;ZR(Gii:103961274) FX2;BTO/Dell 210-ABUX?18195516.3;
210-ABUX;ZR(Gii:103961274) FX2;BTO/Dell 210-ABUX?18237499;
210-ABUX;ZR(Gii:103961274) FX2;BTO/Dell PowerEdge FX2 Chassis;
210-ABUX;ZR(Gii:103961274) FX2;BTO/Dell PowerEdge FX2 Chassis for up to;
210-ABUX;ZR(Gii:103961274) FX2;BTO/PowerEdge FX2 Chassis;
210-ABUX;ZR(Gii:103961274) FX2;CS/Dell PowerEdge FX2;
210-ABUX;ZR(Gii:103961274) FX2;CS/PE FX2 Chassis 3Y PS;
210-ABUX;ZR(Gii:103961274) FX2;CS/PowerEdge FX2;
210-ABUX;ZR(Gii:103961274) FX2;DELL BTO PowerEdge FX2 [PowerEdge FX2;
210-ABUX;ZR(Gii:103961274) FX2;DELL FX 2 + 3 NODES;
210-ABUX;ZR(Gii:103961274) FX2;DELL POWEREDGE FX2;
210-ABUX;ZR(Gii:103961274) FX2;Dell PowerEdge FX2;
210-ABUX;ZR(Gii:103961274) FX2;HC (Gii 103139470/3) FX2;
210-ABUX;ZR(Gii:103961274) FX2;HC(GII:100581062.11)FX2;
210-ABUX;ZR(Gii:103961274) FX2;LB(Gii:103399399.3) FX2;
210-ABUX;ZR(Gii:103961274) FX2;LM  (GIIQuote:101074959.15) FX2;
210-ABUX;ZR(Gii:103961274) FX2;POWEREDGE FX2;
210-ABUX;ZR(Gii:103961274) FX2;PowerEdge FX2;
210-ABUX;ZR(Gii:103961274) FX2;POWEREDGE FX2 CHASSIS FX2S 2*2 000W 1XCMC 2X1GBE PASS TROUGH;
210-ABUX;ZR(Gii:103961274) FX2;POWEREDGE FX2 CHASSIS FX2S 2X2 000W 1XCMC 2GB SD 2*PASS TRI;
210-ABUX;ZR(Gii:103961274) FX2;Poweredge Fx2 Configurato;
